filename,width,height,class,xmin,ymin,xmax,ymax
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207386.png,720,1280,Yellow,610,351,615,358
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207386.png,720,1280,Yellow,633,342,638,351
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207386.png,720,1280,Yellow,649,350,655,360
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207390.png,720,1280,RedLeft,612,354,615,360
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207390.png,720,1280,Red,632,346,636,355
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207390.png,720,1280,Red,649,353,653,364
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207458.png,720,1280,RedLeft,608,354,613,364
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207458.png,720,1280,Red,633,343,638,353
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207458.png,720,1280,Red,652,355,656,363
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207464.png,720,1280,Red,633,344,640,355
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207464.png,720,1280,RedLeft,610,356,615,365
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207464.png,720,1280,Red,651,353,659,366
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207468.png,720,1280,RedLeft,611,351,616,361
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207468.png,720,1280,Red,633,340,639,350
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207468.png,720,1280,Red,655,351,660,360
./rgb/train/2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207484.png,720,1280,RedLeft,612,351,618,361
